iter	Passed	Remaining
429	2726	443
430	2731	437
431	2738	431
432	2744	424
433	2751	418
434	2757	412
435	2764	405
436	2771	399
437	2776	393
438	2783	386
439	2790	380
440	2796	374
441	2804	367
442	2809	361
443	2816	355
444	2822	348
445	2828	342
446	2835	336
447	2841	329
448	2847	323
449	2853	317
450	2859	310
451	2865	304
452	2871	297
453	2877	291
454	2883	285
455	2889	278
456	2895	272
457	2902	266
458	2909	259
459	2915	253
460	2921	247
461	2928	240
462	2934	234
463	2940	228
464	2946	221
465	2952	215
466	2958	209
467	2964	202
468	2969	196
469	2976	190
470	2982	183
471	2988	177
472	2995	170
473	3001	164
474	3007	158
475	3013	151
476	3019	145
477	3026	139
478	3032	132
479	3037	126
480	3043	120
481	3050	113
482	3056	107
483	3062	101
484	3068	94
485	3075	88
486	3081	82
487	3087	75
488	3094	69
489	3099	63
490	3105	56
491	3112	50
492	3118	44
493	3125	37
494	3131	31
495	3138	25
496	3144	18
497	3150	12
498	3156	6
499	3163	0
